Id,Name,Pueblo,Room Type,Availability 365,Price
5.59e+17,Cozy privet Room near metro 7,Morovis,Private room,231,1201
22245555,"Bright Room with Private Bathroom, Futon and Desk",Toa alta,Private room,323,595
54038522,CONFORTABLE BEDROOM 3 IN THE LUXURY HOUSE,Utuado,Private room,360,560
15618501,Ahhhh Relaxing!!!(& Most Comfortable Bed EVER!!!),Toa alta,Private room,353,860
34191748,"Sunny, Spacious Private Room and Private Bath",Toa alta,Private room,363,1000
39333843,"Private room and bath , 10 mins walk to metro",San Juan,Private room,87,200
25917627,In the heart of ;  Professional Owner,Dorado,Shared room,0,1000
25920062,"Modern, cozy one-bedroom apartment on ",Rio Grande,Entire home/apt,15,400
25937857,"Charming apt w/ killer cafés & bars, 20 min. dwtwn",Toa Baja,Entire home/apt,0,850
25950556,1 bedroom privat apartment 4 blks to  metro,Mayaguez,Entire home/apt,126,750
25967051,Historic modern near Oceanview,Bayamon,Private room,0,200
25968592,Private  Studio w/Rooftop,Mayaguez,Entire home/apt,0,500
25977017,Home on the beach - Sunny Apartment by the Metro!,Bayamon,Entire home/apt,10,320
25994846,"Spacious, Sunny Studio in Fantastic Location",Guaynabo,Entire home/apt,0,3600
26002321,Modern English Basement on,Rio Grande,Entire home/apt,4,850
26004413,nice Park ⭐️ KING BED I  | Free Parking,Rio Grande,Entire home/apt,125,550
26013461,Eco-friendly house in,Fajardo,Private room,0,436
26033668,PRO CLEANED! Captivating in  - nice,Fajardo,Entire home/apt,0,720
26067478,Ultra modern loft in historic building in NW,Farjardo,Entire home/apt,0,690
26098080,Sunny One Bedroom Near . Corridor!,Rio Grande,Entire home/apt,0,500
26101337,Sunny Studio Apartment in  /  area,Mayaguez,Entire home/apt,0,500
26102160,"Landrace Meeting Place, Cultivated Event Space",Guaynabo,Entire home/apt,355,2050
26107195,"Quiet, Cozy, Convenient Home in ",Morovis,Entire home/apt,329,970
26108745,oaDistrict sunroom,Guaynabo,Private room,325,635
26113114,TRAVEL INSPIRED URBAN RETREAT,Toa Baja,Entire home/apt,0,370
26117108,Getaway in Bloomingdale,Isabela,Entire home/apt,329,460
26124265,"Newly renovated  3 lvl, 4 BR modern!",Rio Grande,Entire home/apt,0,400
26130196,Spacious 1 BR Modern English Basement in Caribbean,Rio Grande,Entire home/apt,18,1400
